customer_name,district_name,total_amount
Jimmy Schrader,Krasnojarsk,104.72
Ramona Hale,Punjab,103.77
Courtney Day,Kyonggi,103.74
Sharon Robinson,Nothwest Border Prov,103.73
Manuel Murrell,Northern,103.73
Misty Lambert,Sharja,102.78
Ben Easter,Volgograd,102.77
Max Pitt,Vojvodina,102.77
Lillian Griffin,Abu Dhabi,102.76
Yolanda Weaver,Tabora,102.75
Marie Turner,Lipetsk,101.79
Glen Talbert,Coahuila de Zaragoza,100.77
Vickie Brewer,Anhalt Sachsen,100.75
Ron Deluca,Gumma,99.78
Lisa Anderson,Kanagawa,99.77
Evelyn Morgan,Vaduz,99.74
Ken Prewitt,Bukarest,99.73
Angel Barclay,Nagano,99.72
Ruth Martinez,Northern Cape,98.82
Clinton Buford,Colorado,98.76
Annette Olson,Kerala,98.76
Gwendolyn May,Osaka,98.75
Francis Sikes,Oaxaca,98.75
Jeremy Hurtado,Pernambuco,98.75
Ross Grey,Central Mindanao,98.74
Rose Howard,Cayenne,97.8
Leon Bostic,Caquet,97.79
Wallace Slone,Sokoto & Kebbi & Zam,97.78
Rodney Moeller,Bauchi & Gombe,97.78
Virgil Wofford,Guerrero,97.75
Mabel Holland,Sagaing,97.75
Carlos Coughlin,Gujarat,96.79
Albert Crouse,Nord-Ouest,96.78
Edward Baugh,Streymoyar,96.76
Connie Wallace,Ivanovo,95.79
Willard Lumpkin,Campeche,95.79
Gary Coy,Henan,95.78
Darren Windham,Toscana,95.78
Shane Millard,Baja California Sur,95.78
Beth Franklin,Haiphong,95.76
Ronnie Ricketts,Ziguinchor,95.76
Esther Crawford,Free State,95.72
Laura Rodriguez,Rabat-Sal-Zammour-Z,94.81
Suzanne Nichols,Jakarta Raya,94.76
Kelly Knott,Hainan,94.76
Geraldine Perkins,Tel Aviv,94.76
Carmen Owens,Distrito Federal,94.75
Edwin Burk,KwaZulu-Natal,93.8
Claude Herzog,Benguela,93.8
Francisco Skidmore,Rio Grande do Sul,93.79
Dawn Sullivan,Funafuti,93.78
Phillip Holm,Ibaragi,93.76
Martin Bales,Namibe,93.75
Howard Fortner,Kermanshah,93.74
Frances Parker,Cear,92.81
Joseph Joy,Rio de Janeiro,92.8
Bruce Schwarz,Okinawa,92.79
Andrea Henderson,Mahajanga,92.79
Chester Benner,Heilongjiang,92.78
Joel Francisco,Chuquisaca,92.78
Elmer Noe,Battambang,92.76
Melanie Armstrong,Caraga,92.75
Dustin Gillette,Drenthe,92.75
Rafael Abney,Central Luzon,91.81
Ricardo Meador,Okayama,91.81
Wilma Richards,Washington,91.8
Sean Douglass,Addis Abeba,91.77
Deanna Byrd,Cagayan Valley,90.78
Emily Diaz,Kyongsangbuk,90.77
Kathleen Adams,Markazi,90.75
Beverly Brooks,Chiayi,89.78
Benjamin Varney,Jalisco,89.78
Andrew Purdy,Baki,89.78
Judy Gray,Bchar,89.77
Lillie Kim,Qina,89.77
Edgar Rhoads,Eskisehir,89.77
Jackie Lynch,Valle,89.77
Darrell Power,Nova Scotia,89.76
Lawrence Lawton,Centre,89.71
Dora Medina,Tianjin,88.81
Anna Hill,Piemonte,88.8
Aaron Selby,East Kasai,88.8
Glenn Pullen,Utrecht,88.78
Heather Morris,Chiba,88.76
Donna Thompson,Kalmykia,87.82
Tara Ryan,Sulawesi Utara,87.81
Kurt Emmons,Ishikawa,87.8
Harvey Guajardo,Nghe An,87.8
Derrick Bourque,Qubec,87.8
Maureen Little,Asuncin,87.79
Freddie Duggan,Piura,87.77
Ruben Geary,Lubelskie,86.81
Erica Matthews,Jiangxi,86.8
Peggy Myers,Asir,86.77
Constance Reid,Kaduna,86.77
Allison Stanley,Phnom Penh,86.75
Randall Neumann,La Romana,85.8
Jon Wiles,La Paz,85.78
Victor Barkley,New Hampshire,85.78
Susan Wilson,Hamilton,85.77
Kimberly Lee,Crdoba,85.77
Lonnie Tirado,Sumatera Selatan,84.84
Mathew Bolin,Carabobo,84.8
Bonnie Hughes,Cheju,84.8
Corey Hauser,Gaziantep,83.81
Leslie Gordon,Kilis,83.8
Wade Delvalle,Vaud,83.78
Patrick Newsom,Hanoi,83.77
Gene Sanborn,Zufar,82.76
Vernon Chapa,Denizli,81.83
Yvonne Watkins,Miranda,81.81
Thomas Grigsby,Missouri,81.81
Mark Rinehart,Tabuk,81.8
Lorraine Stephens,Xinxiang,81.8
Barbara Jones,Mandalay,81.78
Jessie Banks,Haskovo,81.76
Cory Meehan,Mogiljov,81.76
Paul Trout,Kursk,80.85
Oscar Aquino,Kerman,80.83
Eileen Carr,Alto Paran,80.82
Vivian Ruiz,Noord-Brabant,80.8
Kristina Chambers,Gurico,80.78
Keith Rico,Bratislava,80.77
David Royal,Callao,79.81
Roberta Harper,Chaharmahal va Bakht,79.8
Jenny Castro,Ponce,79.8
Jesse Schilling,Shaba,79.78
Dennis Gilman,Western Cape,78.8
Margaret Moore,Masqat,78.8
Erika Pena,Pohjois-Pohjanmaa,78.79
Colleen Burton,Saarland,78.78
Luis Yanez,Bretagne,77.81
Chris Brothers,Asturia,77.8
Rita Graham,Provence-Alpes-Cte,77.78
Lydia Burke,Tucumn,77.77
Marian Mendoza,Paran,76.82
Leah Curtis,Wielkopolskie,75.81
Larry Thrasher,Adana,74.81
Irene Price,Pavlodar,74.79
April Burns,Scotland,74.77
Toni Holt,Virginia,73.83
Herbert Kruger,Komi,73.81
Alicia Mills,Assam,73.81
Lance Pemberton,Tadla-Azilal,73.8
Enrique Forsythe,West Greece,73.78
Gregory Mauldin,Sousse,73.78
Robert Baughman,Kaliningrad,71.85
Delores Hansen,Jaroslavl,71.84
Ray Houle,Nizni Novgorod,71.8
Billie Horton,Bursa,71.79
Samantha Duncan,Tamaulipas,71.77
William Satterfield,Sanaa,70.81
Adrian Clary,Friuli-Venezia Giuli,68.82
Terry Grissom,Shimane,68.81
Jerome Kenyon,OHiggins,67.86
Vera Mccoy,Kabol,67.82
Jeanette Greene,Rostov-na-Donu,66.82
Alberto Henning,Anzotegui,66.79
Henry Billingsley,Tongatapu,64.84
Jose Andrew,St George,64.82
Juan Fraley,Tuvassia,63.79
Felix Gaffney,Vilna,63.78
Lauren Hudson,Pays de la Loire,59.83
Jill Hawkins,North Austria,58.83
Annie Russell,Tete,58.82
Katherine Rivera,Basel-Stadt,57.87
Sheila Wells,Ktahya,57.86
Johnny Turpin,al-Qadarif,57.81
Anthony Schwab,Tutuila,47.85
Leona Obrien,Fujian,32.9
Brian Wyman,Kujawsko-Pomorskie,27.93
